cycle,contestant,place
1,Elyse,3
1,Kesse,5
1,Shannon,2
1,Ebony,7
1,Adrianne,1
2,Sara,6
2,Catie,7
2,Shandi,3
2,Camille,5
2,April,4
2,Mercedes,2
2,Yoanna,1
3,Eva,3
3,Ann,4
3,Yaya,2
3,Cassie,8
3,Amanda,3
3,Nicole,6
4,Kahlen,2
4,Tiffany,8
4,Brittany,4
4,Keenyah,3
4,Naima,1
4,Rebecca,8
5,Nik,2
5,Jayla,4
5,Kyle,7
5,Kim,5
5,Lisa,6
5,Bre,3
5,Nicole,1
5,Cassandra,11
6,Joanie,2
6,Jade,3
6,Nnenna,6
6,Brooke,7
6,Danielle,1
6,Furonda,5
7,Michelle,5
7,A.J.,9
7,CariDee,1
7,Melrose,2
7,Brooke,8
7,Eugena,3
7,Amanda,4
8,Renee,3
8,Jael,6
8,Jaslene,1
8,Brittany,5
8,Dionne,4
8,Natasha,2
9,Chantal,2
9,Heather,5
9,Bianca,4
9,Lisa,6
9,Jenah,3
9,Saleisha,1
10,Anya,2
10,Fatima,3
10,Whitney,1
10,Lauren,6
10,Stacey-Ann,7
11,Clark,9
11,Samantha,2
11,McKey,1
11,Elina,5
11,Analeigh,3
11,Marjorie,4
11,Lauren Brie,8
12,Teyona,1
12,Tahlia,8
12,Sandra,9
12,Allison,2
12,Celia,4
12,Fo,5
13,Rae,7
13,Brittany,6
13,Jennifer,3
13,Erin,3
13,Kara,8
13,Nicole,1
14,Angelea,3
14,Alasia,6
14,Jessica,5
14,Krista,1
14,Raina,2
15,Ann,1
15,Kayla,3
15,Chris,5
15,Liz,6
16,Alexandria,4
16,Hannah,3
16,Molly,2
16,Kasia,5
16,Jaclyn,6
16,Brittani,1
17,Angelea,3
17,Isis,12
17,Dominique,5
17,Laura,4
17,Allison,2
17,Lisa,1
18,Eboni,5
18,Laura,2
18,Seymone,7
18,Alisha,4
18,AzMarie,9
18,Sophie,1
19,Kiara,2
19,Laura,1
19,Leila,3
19,Nastasia,4
19,Victoria,6
20,Chris H.,4
20,Mike,13
20,Marvin,2
20,Jourdan,1
20,Nina,7
20,Cory,3
21,Ben,12
21,Lenox,4
21,Chantelle,6
21,Will,2
21,Adam,3
21,Keith,1
22,Devin,5
22,Mikey,3
22,Mamé,2
22,Ava,12
22,Nyle,1
22,Lacey,3
23,Cory Anne,3
23,Tatiana,2
23,India,1
23,Courtney,4
23,Tash,6
23,Cody,5
23,Krislian,11
