cycle,contestant,num,place
1,Tessa,0,10
1,Elyse,2,3
1,Kesse,1,5
1,Robin,0,4
1,Shannon,3,2
1,Ebony,1,7
1,Adrianne,1,1
1,Giselle,0,6
1,Nicole,0,8
1,Katie,0,9
2,Bethany,0,11
2,Sara,1,6
2,Heather,0,10
2,Catie,1,7
2,Jenascia,0,9
2,Shandi,3,3
2,Camille,1,5
2,April,1,4
2,Xiomara,0,8
2,Mercedes,2,2
2,Anna,0,12
2,Yoanna,1,1
3,Norelle,0,5
3,Toccara,0,7
3,Eva,2,1
3,Ann,1,4
3,Jennipher,0,10
3,Yaya,2,2
3,Leah,0,13
3,Cassie,1,8
3,Kristi,0,11
3,Kelle,0,9
3,Amanda,4,3
3,Julie,0,12
3,Nicole,1,6
3,Magdalena,0,14
4,Sarah,0,13
4,Tatiana,0,7
4,Christina,0,5
4,Kahlen,3,2
4,Brita,0,14
4,Michelle,0,6
4,Tiffany,1,8
4,Noelle,0,11
4,Brittany,2,4
4,Lluvy,0,10
4,Brandy,0,12
4,Keenyah,1,3
4,Naima,2,1
4,Rebecca,1,8
5,Coryn,0,8
5,Nik,3,2
5,Jayla,1,4
5,Sarah,0,10
5,Diane,0,9
5,Kyle,1,7
5,Ashley,0,13
5,Ebony,0,12
5,Kim,2,5
5,Lisa,1,6
5,Bre,1,3
5,Nicole,1,1
5,Cassandra,1,11
6,Joanie,5,2
6,Kathy,0,13
6,Gina,0,10
6,Jade,1,3
6,Sara,0,4
6,Leslie,0,8
6,Nnenna,1,6
6,Wendy,0,12
6,Mollie Sue,0,9
6,Brooke,1,7
6,Danielle,1,1
6,Kari,0,11
6,Furonda,2,5
7,Jaeda,0,6
7,Michelle,1,5
7,Christian,0,13
7,Megan,0,12
7,A.J.,1,9
7,Anchal,0,7
7,CariDee,3,1
7,Melrose,3,2
7,Monique,0,11
7,Brooke,1,8
7,Eugena,1,3
7,Amanda,1,4
7,Megg,0,10
8,Renee,2,3
8,Jael,1,6
8,Jaslene,4,1
8,Felicia,0,10
8,Diana,0,9
8,Samantha,0,12
8,Brittany,1,5
8,Dionne,1,4
8,Kathleen,0,13
8,Whitney,0,7
8,Sarah,0,8
8,Cassandra,0,11
8,Natasha,2,2
9,Sarah,0,8
9,Chantal,3,2
9,Janet,0,10
9,Heather,1,5
9,Mila,0,13
9,Victoria,0,11
9,Bianca,1,4
9,Kimberly,0,12
9,Lisa,2,6
9,Jenah,2,3
9,Ambreal,0,7
9,Saleisha,2,1
9,Ebony,0,9
10,Anya,5,2
10,Dominique,0,4
10,Atalya,0,13
10,Claire,0,8
10,Allison,0,12
10,Fatima,3,3
10,Aimee,0,9
10,Whitney,1,1
10,Kim,0,14
10,Marvita,0,10
10,Lauren,1,6
