cycle,contestant,elimination-1,elimination-2,elimination-3,elimination-4,elimination-5,elimination-6,elimination-7,elimination-8,elimination-9,elimination-10,elimination-11,elimination-12,elimination-13
1,Tessa,10.0,0,0,0,0,0,0,0,0,0,0,0,0
1,Elyse,2.0,4.5,4.0,3.5,3.8,3.3333333333333335,3.0,3.0,0,0,0,0,0
1,Kesse,3.0,5.5,4.333333333333333,3.5,3.2,3.5,0,0,0,0,0,0,0
1,Robin,8.0,6.0,6.0,5.5,5.2,4.833333333333333,4.714285714285714,0,0,0,0,0,0
1,Shannon,9.0,5.0,3.6666666666666665,4.0,3.8,3.5,3.4285714285714284,3.125,3.0,0,0,0,0
1,Ebony,1.0,3.5,4.666666666666667,5.25,0,0,0,0,0,0,0,0,0
1,Adrianne,4.0,4.5,4.666666666666667,4.25,3.6,3.6666666666666665,3.4285714285714284,3.25,3.0,0,0,0,0
1,Giselle,7.0,5.0,4.666666666666667,5.0,5.2,0,0,0,0,0,0,0,0
1,Nicole,6.0,4.0,5.333333333333333,0,0,0,0,0,0,0,0,0,0
1,Katie,5.0,7.0,0,0,0,0,0,0,0,0,0,0,0
2,Bethany,9.0,10.0,0,0,0,0,0,0,0,0,0,0,0
2,Sara,6.0,6.0,5.666666666666667,5.5,4.6,4.666666666666667,4.857142857142857,0,0,0,0,0,0
2,Heather,7.0,7.5,8.333333333333334,0,0,0,0,0,0,0,0,0,0
2,Catie,5.0,3.0,4.666666666666667,5.5,5.4,5.666666666666667,0,0,0,0,0,0,0
2,Jenascia,11.0,10.0,9.0,9.0,0,0,0,0,0,0,0,0,0
2,Shandi,2.0,6.0,4.333333333333333,4.0,4.4,4.333333333333333,3.857142857142857,3.5,3.3333333333333335,3.3,0,0,0
2,Camille,1.0,2.0,3.3333333333333335,4.25,4.8,5.0,4.714285714285714,4.75,0,0,0,0,0
2,April,3.0,3.5,3.0,3.75,3.6,3.1666666666666665,3.2857142857142856,3.25,3.3333333333333335,0,0,0,0
2,Xiomara,10.0,8.5,8.666666666666666,7.0,7.2,0,0,0,0,0,0,0,0
2,Mercedes,4.0,4.5,4.333333333333333,3.5,3.2,3.1666666666666665,3.0,3.125,3.111111111111111,2.9,2.8181818181818183,0,0
2,Anna,12.0,0,0,0,0,0,0,0,0,0,0,0,0
2,Yoanna,8.0,5.0,4.333333333333333,4.25,4.2,3.8333333333333335,4.0,3.75,3.4444444444444446,3.3,3.090909090909091,0,0
3,Norelle,10.0,9.0,8.333333333333334,7.0,6.8,6.333333333333333,6.142857142857143,5.75,5.666666666666667,0,0,0,0
3,Toccara,7.0,6.0,5.333333333333333,5.5,5.4,5.666666666666667,5.857142857142857,0,0,0,0,0,0
3,Eva,9.0,6.0,5.666666666666667,5.25,4.4,3.8333333333333335,3.5714285714285716,3.375,3.3333333333333335,3.3,3.1818181818181817,3.0,0
3,Ann,12.0,10.5,7.666666666666667,7.5,7.6,6.666666666666667,6.571428571428571,5.875,5.666666666666667,5.5,0,0,0
3,Jennipher,4.0,5.0,6.666666666666667,7.5,0,0,0,0,0,0,0,0,0
3,Yaya,1.0,2.5,4.333333333333333,3.75,3.8,3.6666666666666665,3.7142857142857144,3.875,3.6666666666666665,3.5,3.272727272727273,3.1666666666666665,0
3,Leah,13.0,0,0,0,0,0,0,0,0,0,0,0,0
3,Cassie,6.0,6.5,4.666666666666667,5.5,5.8,6.166666666666667,0,0,0,0,0,0,0
3,Kristi,2.0,6.0,7.666666666666667,0,0,0,0,0,0,0,0,0,0
3,Kelle,5.0,8.0,8.333333333333334,8.5,8.6,0,0,0,0,0,0,0,0
3,Amanda,11.0,6.0,6.0,4.75,4.2,4.333333333333333,4.142857142857143,4.125,3.7777777777777777,3.5,3.4545454545454546,0,0
3,Julie,3.0,7.5,0,0,0,0,0,0,0,0,0,0,0
3,Nicole,8.0,5.0,4.333333333333333,4.5,4.2,4.5,4.0,4.25,0,0,0,0,0
3,Magdalena,14.0,0,0,0,0,0,0,0,0,0,0,0,0
4,Sarah,8.0,10.5,0,0,0,0,0,0,0,0,0,0,0
4,Tatiana,9.0,5.5,6.0,5.25,5.4,5.666666666666667,5.857142857142857,0,0,0,0,0,0
4,Christina,5.0,6.0,5.666666666666667,4.75,4.6,4.833333333333333,4.428571428571429,4.125,4.222222222222222,0,0,0,0
4,Kahlen,4.0,7.5,6.333333333333333,6.0,5.0,5.0,4.428571428571429,4.0,3.888888888888889,3.7,3.5454545454545454,3.4166666666666665,0
4,Brita,14.0,0,0,0,0,0,0,0,0,0,0,0,0
4,Michelle,6.0,8.0,6.333333333333333,6.75,6.4,6.0,6.0,6.0,0,0,0,0,0
4,Tiffany,1.0,2.5,4.666666666666667,4.5,5.0,5.333333333333333,0,0,0,0,0,0,0
4,Noelle,7.0,8.0,8.666666666666666,9.0,0,0,0,0,0,0,0,0,0
4,Brittany,10.0,11.0,7.666666666666667,7.5,6.4,5.5,5.428571428571429,5.25,5.111111111111111,5.0,0,0,0
4,Lluvy,11.0,8.0,9.0,9.0,9.2,0,0,0,0,0,0,0,0
4,Brandy,13.0,10.5,11.0,0,0,0,0,0,0,0,0,0,0
4,Keenyah,12.0,6.5,5.0,0,5.75,5.0,4.833333333333333,4.857142857142857,4.5,4.111111111111111,4.0,0,0
4,Naima,2.0,4.0,5.333333333333333,5.5,5.0,4.666666666666667,4.428571428571429,4.25,3.888888888888889,3.8,3.5454545454545454,3.3333333333333335,0
4,Rebecca,3.0,3.0,4.0,3.25,4.4,4.833333333333333,0,0,0,0,0,0,0
5,Coryn,9.0,6.0,6.333333333333333,6.5,6.8,0,0,0,0,0,0,0,0
5,Nik,1.0,3.5,3.3333333333333335,3.25,4.0,3.8333333333333335,3.7142857142857144,3.75,3.4444444444444446,3.3,3.090909090909091,3.0,0
5,Jayla,5.0,6.5,4.666666666666667,4.0,3.6,3.6666666666666665,3.857142857142857,4.0,3.7777777777777777,3.8,0,0,0
5,Sarah,12.0,10.5,10.333333333333334,0,0,0,0,0,0,0,0,0,0
5,Diane,4.0,7.5,7.0,7.5,0,0,0,0,0,0,0,0,0
5,Kyle,6.0,8.0,6.0,4.75,4.8,5.166666666666667,0,0,0,0,0,0,0
5,Ashley,13.0,0,0,0,0,0,0,0,0,0,0,0,0
5,Ebony,8.0,10.0,0,0,0,0,0,0,0,0,0,0,0
