cycle,contestant,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13
21,Raelia,11,4,2,3,9,7,2,7,7,0,0,0,0
21,Kari,9,12,8,9,10,0,0,0,0,0,0,0,0
21,Ben,7,1,9,11,0,0,0,0,0,0,0,0,0
21,Lenox,2,2,11,1,1,1,7,3,3,2,4,4,0
21,Ivy,14,0,0,0,0,0,0,0,0,0,0,0,0
21,Chantelle,6,13,0,0,0,0,0,1,6,6,0,0,0
21,Will,13,3,1,5,3,2,1,6,2,3,3,2,2
21,Matthew,4,6,5,7,5,9,0,0,0,0,0,0,0
21,Denzel,5,9,7,8,4,6,8,0,0,0,0,0,0
21,Adam,10,11,10,6,2,5,6,4,5,5,1,1,3
21,Mirjana,3,7,4,2,6,8,5,8,0,0,0,0,0
21,Shei,12,10,6,4,8,3,4,2,4,4,5,0,0
21,Keith,1,5,3,10,7,4,3,5,1,1,2,3,1
21,Romeo,8,8,12,0,0,0,0,0,0,0,0,0,0
