cycle,contestant,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13
1,Tessa,10,0,0,0,0,0,0,0,0,0,0,0,0
1,Elyse,2,7,3,2,5,1,1,3,0,0,0,0,0
1,Kesse,3,8,2,1,2,5,0,0,0,0,0,0,0
1,Robin,8,4,6,4,4,3,4,0,0,0,0,0,0
1,Shannon,9,1,1,5,3,2,3,1,2,0,0,0,0
1,Ebony,1,6,7,7,0,0,0,0,0,0,0,0,0
1,Adrianne,4,5,5,3,1,4,2,2,1,0,0,0,0
1,Giselle,7,3,4,6,6,0,0,0,0,0,0,0,0
1,Nicole,6,2,8,0,0,0,0,0,0,0,0,0,0
1,Katie,5,9,0,0,0,0,0,0,0,0,0,0,0
2,Bethany,9,11,0,0,0,0,0,0,0,0,0,0,0
2,Sara,6,6,5,5,1,5,6,0,0,0,0,0,0
2,Heather,7,8,10,0,0,0,0,0,0,0,0,0,0
2,Catie,5,1,8,8,5,7,0,0,0,0,0,0,0
2,Jenascia,11,9,7,9,0,0,0,0,0,0,0,0,0
2,Shandi,2,10,1,3,6,4,1,1,2,3,0,0,0
2,Camille,1,3,6,7,7,6,3,5,0,0,0,0,0
2,April,3,4,2,6,3,1,4,3,4,0,0,0,0
2,Xiomara,10,7,9,2,8,0,0,0,0,0,0,0,0
2,Mercedes,4,5,4,1,2,3,2,4,3,1,2,0,0
2,Anna,12,0,0,0,0,0,0,0,0,0,0,0,0
2,Yoanna,8,2,3,4,4,2,5,2,1,2,1,0,0
3,Norelle,10,8,7,3,6,4,5,3,5,0,0,0,0
3,Toccara,7,5,4,6,5,7,7,0,0,0,0,0,0
3,Eva,9,3,5,4,1,1,2,2,3,3,2,1,0
3,Ann,12,9,2,7,8,2,6,1,4,4,0,0,0
3,Jennipher,4,6,10,10,0,0,0,0,0,0,0,0,0
3,Yaya,1,4,8,2,4,3,4,5,2,2,1,2,0
3,Leah,13,0,0,0,0,0,0,0,0,0,0,0,0
3,Cassie,6,7,1,8,7,8,0,0,0,0,0,0,0
3,Kristi,2,10,11,0,0,0,0,0,0,0,0,0,0
3,Kelle,5,11,9,9,9,0,0,0,0,0,0,0,0
3,Amanda,11,1,6,1,2,5,3,4,1,1,3,0,0
3,Julie,3,12,0,0,0,0,0,0,0,0,0,0,0
3,Nicole,8,2,3,5,3,6,1,6,0,0,0,0,0
3,Magdalena,14,0,0,0,0,0,0,0,0,0,0,0,0
4,Sarah,8,13,0,0,0,0,0,0,0,0,0,0,0
4,Tatiana,9,2,7,3,6,7,7,0,0,0,0,0,0
4,Christina,5,7,5,2,4,6,2,2,5,0,0,0,0
4,Kahlen,4,11,4,5,1,5,1,1,3,2,2,2,0
4,Brita,14,0,0,0,0,0,0,0,0,0,0,0,0
4,Michelle,6,10,3,8,5,4,6,6,0,0,0,0,0
4,Tiffany,1,4,9,4,7,7,0,0,0,0,0,0,0
4,Noelle,7,9,10,10,0,0,0,0,0,0,0,0,0
4,Brittany,10,12,1,7,2,1,5,4,4,4,0,0,0
4,Lluvy,11,5,11,9,10,0,0,0,0,0,0,0,0
4,Brandy,13,8,12,0,0,0,0,0,0,0,0,0,0
4,Keenyah,12,1,2,0,8,2,4,5,2,1,3,0,0
4,Naima,2,6,8,6,3,3,3,3,1,3,1,1,0
4,Rebecca,3,3,6,1,9,7,0,0,0,0,0,0,0
5,Coryn,9,3,7,7,8,0,0,0,0,0,0,0,0
5,Nik,1,6,3,3,7,3,3,4,1,2,1,2,0
5,Jayla,5,8,1,2,2,4,5,5,2,4,0,0,0
5,Sarah,12,9,10,0,0,0,0,0,0,0,0,0,0
5,Diane,4,11,6,9,0,0,0,0,0,0,0,0,0
5,Kyle,6,10,2,1,5,7,0,0,0,0,0,0,0
5,Ashley,13,0,0,0,0,0,0,0,0,0,0,0,0
5,Ebony,8,12,0,0,0,0,0,0,0,0,0,0,0
5,Kim,11,4,9,6,3,1,2,1,5,0,0,0,0
5,Lisa,2,5,5,4,1,2,4,6,0,0,0,0,0
5,Bre,7,7,4,8,6,6,1,2,4,3,3,0,0
5,Nicole,10,2,8,5,4,5,5,3,3,1,2,1,0
5,Cassandra,3,1,11,0,0,0,0,0,0,0,0,0,0
5,Coryn,9,3,7,7,8,0,0,0,0,0,0,0,0
6,Joanie,4,10,4,2,6,1,1,4,1,1,1,2,0
6,Kathy,13,0,0,0,0,0,0,0,0,0,0,0,0
6,Gina,10,6,10,10,0,0,0,0,0,0,0,0,0
6,Jade,7,11,1,5,8,2,6,2,4,2,3,0,0
6,Sara,2,9,6,7,2,7,4,3,2,4,0,0,0
6,Leslie,3,8,8,4,3,8,0,0,0,0,0,0,0
6,Nnenna,1,3,9,8,5,3,3,6,0,0,0,0,0
6,Wendy,11,12,0,0,0,0,0,0,0,0,0,0,0
6,Mollie Sue,8,7,5,6,9,0,0,0,0,0,0,0,0
6,Brooke,9,1,3,9,7,6,7,0,0,0,0,0,0
6,Danielle,6,2,2,3,4,5,5,1,3,3,2,1,0
6,Kari,5,4,11,0,0,0,0,0,0,0,0,0,0
6,Furonda,12,5,7,1,1,4,2,5,5,0,0,0,0
7,Jaeda,9,11,2,9,8,5,3,6,0,0,0,0,0
7,Michelle,1,4,5,5,5,6,6,4,5,0,0,0,0
7,Christian,13,0,0,0,0,0,0,0,0,0,0,0,0
7,Megan,4,12,0,0,0,0,0,0,0,0,0,0,0
7,A.J.,3,5,1,3,9,0,0,0,0,0,0,0,0
7,Anchal,5,2,4,6,7,3,7,0,0,0,0,0,0
7,CariDee,2,6,9,1,4,2,1,5,3,3,1,1,0
7,Melrose,12,1,6,4,2,4,2,1,2,1,2,2,0
7,Monique,7,10,11,0,0,0,0,0,0,0,0,0,0
7,Brooke,11,7,3,8,1,8,0,0,0,0,0,0,0
7,Eugena,10,8,10,2,6,7,5,2,1,2,3,0,0
7,Amanda,8,3,8,7,3,1,4,3,4,4,0,0,0
7,Megg,6,9,7,10,0,0,0,0,0,0,0,0,0
8,Renee,7,4,6,1,6,5,4,2,3,1,3,0,0
8,Jael,12,8,2,6,7,1,6,6,0,0,0,0,0
8,Jaslene,1,1,9,5,4,6,5,3,1,2,1,1,0
8,Felicia,3,2,5,10,0,0,0,0,0,0,0,0,0
8,Diana,4,3,10,7,9,0,0,0,0,0,0,0,0
8,Samantha,5,12,0,0,0,0,0,0,0,0,0,0,0
8,Brittany,2,5,1,3,3,4,3,5,5,0,0,0,0
8,Dionne,9,7,4,9,2,3,1,4,4,4,0,0,0
8,Kathleen,13,0,0,0,0,0,0,0,0,0,0,0,0
8,Whitney,10,9,7,4,8,7,7,0,0,0,0,0,0
8,Sarah,8,10,3,8,5,8,0,0,0,0,0,0,0
8,Cassandra,6,6,11,0,0,0,0,0,0,0,0,0,0
8,Natasha,11,11,8,2,1,2,2,1,2,3,2,2,0
9,Sarah,4,5,2,8,5,8,0,0,0,0,0,0,0
9,Chantal,3,4,9,4,6,7,4,1,3,1,1,2,0
9,Janet,9,9,5,10,0,0,0,0,0,0,0,0,0
9,Heather,1,2,3,7,3,2,5,5,5,0,0,0,0
9,Mila,13,0,0,0,0,0,0,0,0,0,0,0,0
9,Victoria,8,7,11,0,0,0,0,0,0,0,0,0,0
9,Bianca,11,11,8,2,4,4,1,3,2,4,0,0,0
9,Kimberly,10,12,0,0,0,0,0,0,0,0,0,0,0
9,Lisa,2,3,4,1,7,1,6,6,0,0,0,0,0
9,Jenah,5,1,1,5,2,6,2,4,4,3,3,0,0
9,Ambreal,7,6,6,9,9,5,7,0,0,0,0,0,0
9,Saleisha,6,8,10,6,1,3,3,2,1,2,2,1,0
9,Ebony,12,10,7,3,8,0,0,0,0,0,0,0,0
10,Anya,7,0,1,4,5,2,1,3,3,1,1,2,0
10,Dominique,10,11,5,2,6,6,3,4,2,4,0,0,0
10,Atalya,13,0,0,0,0,0,0,0,0,0,0,0,0
10,Claire,2,4,4,3,8,8,0,0,0,0,0,0,0
10,Allison,11,12,0,0,0,0,0,0,0,0,0,0,0
10,Fatima,6,6,10,8,3,1,6,1,1,3,3,0,0
10,Aimee,5,3,9,6,9,0,0,0,0,0,0,0,0
10,Whitney,3,8,2,9,1,4,5,5,4,2,2,1,0
10,Kim,14,0,0,0,0,0,0,0,0,0,0,0,0
10,Marvita,0,2,8,10,0,0,0,0,0,0,0,0,0
10,Lauren,4,7,0,5,7,0,2,6,0,0,0,0,0
10,Katarzyna,8,9,7,0,2,3,4,2,5,0,0,0,0
10,Amis,12,10,11,0,0,0,0,0,0,0,0,0,0
10,Stacy-Ann,9,5,6,7,0,7,0,0,0,0,0,0,0
11,Isis,2,12,9,10,0,0,0,0,0,0,0,0,0
11,Clark,10,9,8,1,9,0,0,0,0,0,0,0,0
11,Hannah,12,8,10,11,0,0,0,0,0,0,0,0,0
11,Samantha,6,6,3,9,1,4,3,4,1,3,2,2,0
11,Nikeysha,13,13,0,0,0,0,0,0,0,0,0,0,0
11,McKey,3,5,4,5,3,3,5,1,2,2,1,1,0
11,Brittany,7,10,12,0,0,0,0,0,0,0,0,0,0
11,Elina,5,2,1,8,4,5,6,5,5,0,0,0,0
11,Analeigh,9,11,11,2,2,2,1,2,3,1,3,0,0
11,Marjorie,1,4,7,6,5,1,4,3,4,4,0,0,0
11,Sheena,8,7,5,4,7,7,2,6,0,0,0,0,0
11,Lauren Brie,11,1,2,3,6,8,0,0,0,0,0,0,0
11,Sharaun,14,0,0,0,0,0,0,0,0,0,0,0,0
