cycle,contestant,age,height,hometown,finish,place,result
1,Tessa Carlson,19,5 ft 9 in,"Chicago, Illinois",Episode 1,10,E
1,Katie Cleary,21,5 ft 9 in,"Glenview, Illinois",Episode 2,9,E
1,Nicole Panattoni,22,5 ft 11 in,"Murrieta, California",Episode 3,8,E
1,Ebony Haith,24,5 ft 10 in,"Bronx, New York",Episode 4,7,E
1,Giselle Samson,18,5 ft 10 in,"Corona, California",Episode 5,6,E
1,Kesse Wallace,21,5 ft 9 in,"North Little Rock, Arkansas",Episode 6,5,E
1,Robin Manning,26,5 ft 9 in,"Memphis, Tennessee",Episode 7,4,E
1,Elyse Sewell,20,5 ft 10 in,"Albuquerque, New Mexico",Episode 9,3,E
1,Shannon Stewart,18,5 ft 10.5 in,"Franklin, Ohio",Episode 9,2,E
1,Adrianne Curry,20,5 ft 10.5 in,"Joliet, Illinois",Episode 9,1,W
2,Anna Bradfield,24,5 ft 8 in,"LaGrange, Georgia",Episode 1,12,E
2,Bethany Harrison,22,5 ft 8 in,"Houston, Texas",Episode 2,11,E
2,Heather Blumberg,18,5 ft 10 in,"Moreno Valley, California",Episode 3,10,E
2,Jenascia Chakos,21,5 ft 7 in,"Burien, Washington",Episode 4,9,E
2,Xiomara Frans,25,5 ft 11 in,"Morganville, New Jersey",Episode 5,8,E
2,Catie Anderson,18,5 ft 10 in,"Willmar, Minnesota",Episode 6,7,E
2,Sara Racey-Tabrizi,22,5 ft 9 in,"Seattle, Washington",Episode 7,6,E
2,Camille McDonald,25,5 ft 9.5 in,"Mamaroneck, New York",Episode 8,5,E
2,April Wilkner,23,5 ft 9 in,"Miami Beach, Florida",Episode 10,4,E
2,Shandi Sullivan,21,5 ft 10 in,"Kansas City, Missouri",Episode 11,3,E
2,Mercedes Scelba-Shorte,21,5 ft 8 in,"Valencia, California",Episode 11,2,E
2,Yoanna House,23,5 ft 11 in,"Jacksonville, Florida",Episode 11,1,W
3,Magdalena Rivas,24,5 ft 9 in,"Worcester, Massachusetts",Episode 2,14,EOP
3,Leah Darrow,24,5 ft 9 in,"Oklahoma City, Oklahoma",Episode 2,13,E
3,Julie Titus,19,5 ft 10 in,"Kent, Washington",Episode 3,12,E
3,Kristi Grommet,20,5 ft 10 in,"St. Louis, Missouri",Episode 4,11,E
3,Jennipher Frost,22,5 ft 10 in,"Pocatello, Idaho",Episode 5,10,E
3,Kelle Jacob,20,5 ft 11 in,"New York, New York",Episode 6,9,E
3,Cassie Grisham,19,5 ft 10 in,"Norman, Oklahoma",Episode 7,8,E
3,Toccara Jones,22,5 ft 9 in,"Dayton, Ohio",Episode 8,7,E
3,Nicole Borud,21,5 ft 8 in,"Minot, North Dakota",Episode 9,6,E
3,Norelle Van Herk,19,5 ft 10.5 in,"Newport Beach, California",Episode 11,5,E
3,Ann Markley,21,5 ft 11 in,"Erie, Pennsylvania",Episode 12,4,E
3,Amanda Swafford,25,5 ft 8 in,"Hendersonville, North Carolina",Episode 13,3,E
3,Yaya DaCosta,21,5 ft 8 in,"Harlem, New York",Episode 13,2,E
3,Eva Pigford,19,5 ft 7 in,"Los Angeles, California",Episode 13,1,W
4,Brita Petersons,25,5 ft 9 in,"La Caê±ada, California",Episode 2,14,E
4,Sarah Dankelman,22,5 ft 9 in,"Baltimore, Maryland",Episode 3,13,E
4,Brandy Rusher,20,5 ft 8 in,"Houston, Texas",Episode 4,12,E
4,Noelle Staggers,20,5 ft 8 in,"Reno, Nevada",Episode 5,11,E
4,Lluvy Gomez,21,5 ft 9 in,"Modesto, California",Episode 6,10,E
4,Tiffany Richardson,22,5 ft 9 in,"Miami, Florida",Episode 7,8,E
4,Rebecca Epley,22,5 ft 10 in,"Minneapolis, Minnesota",Episode 7,8,E
4,Tatiana Dante,18,5 ft 10 in,"Maui, Hawaii",Episode 8,7,E
4,Michelle Deighton,19,5 ft 10 in,"Terre Haute, Indiana",Episode 9,6,E
4,Christina Murphy,24,5 ft 10 in,"Tallahassee, Florida",Episode 10,5,E
4,Brittany Brower,22,5 ft 11 in,"Tallahassee, Florida",Episode 11,4,E
4,Keenyah Hill,19,5 ft 11 in,"Compton, California",Episode 13,3,E
4,Kahlen Rondot,21,5 ft 8 in,"Broken Arrow, Oklahoma",Episode 13,2,E
4,Naima Mora,20,5 ft 9 in,"Detroit, Michigan",Episode 13,1,W
5,Ashley Black,22,5 ft 8 in,"Fort Lauderdale, Florida",Episode 2,13,E
5,Ebony Taylor,18,5 ft 10 in,"Sylmar, California",Episode 3,12,E
5,Cassandra Whitehead,19,5 ft 7 in,"Houston, Texas",Episode 4,11,Q
5,Sarah Rhoades,18,5 ft 9 in,"Boonville, Missouri",Episode 4,10,E
5,Diane Hernandez,23,5 ft 11 in,"Orlando, Florida",Episode 5,9,E
5,Coryn Woitel,19,5 ft 9 in,"Minneapolis, Minnesota",Episode 6,8,E
5,Kyle Kavanagh,19,5 ft 10 in,"Dexter, Michigan",Episode 7,7,E
5,Lisa D'Amato,24,5 ft 10 in,"Los Angeles, California",Episode 10,6,E
5,Kim Stolz,21,5 ft 8 in,"New York, New York",Episode 11,5,E
5,Jayla Rubinelli,20,5 ft 9 in,"Tucson, Arizona",Episode 12,4,E
5,Bre Scullark,20,5 ft 8 in,"Harlem, New York",Episode 13,3,E
5,Nik Pace,21,5 ft 9 in,"Atlanta, Georgia",Episode 12,2,E
5,Nicole Linkletter,20,5 ft 9 in,"Grand Forks, North Dakota",Episode 12,1,W
6,Kathy Hoxit,20,5 ft 9 in,"Brevard, North Carolina",Episode 2,13,E
6,Wendy Wiltz,22,5 ft 9.5 in,"New Orleans, Louisiana",Episode 3,12,E
6,Kari Schmidt,18,5 ft 8 in,"Brookings, South Dakota",Episode 4,11,E
6,Gina Choe,21,5 ft 8.5 in,"Odessa, Florida",Episode 5,10,E
6,Mollie Sue Steenis,25,5 ft 9 in,"Tampa, Florida",Episode 6,9,E
6,Leslie Mancia,18,5 ft 10 in,"Higley, Arizona",Episode 7,8,E
6,Brooke Staricha,22,5 ft 11 in,"Corpus Christi, Texas",Episode 8,7,E
6,Nnenna Agba,24,5 ft 9.5 in,"Houston, Texas",Episode 9,6,E
6,Furonda Brasfield,24,5 ft 11 in,"Stuttgart, Arkansas",Episode 11,5,E
6,Sara Albert,22,6 ft 1 in,"Davis, California",Episode 12,4,E
6,Jade Cole,26,5 ft 9 in,"New York, New York",Episode 13,3,E
6,Joanie Dodds,24,5 ft 9 in,"Beaver Falls, Pennsylvania",Episode 12,2,E
6,Danielle Evans,20,5 ft 11 in,"Little Rock, Arkansas",Episode 12,1,W
7,Christian Evans,19,,"Columbia, South Carolina",Episode 2,13,E
7,Megan Morris,23,,"San Francisco, California",Episode 3,12,E
7,Monique Calhoun,19,,"Chicago, Illinois",Episode 4,11,E
7,Megg Morales,18,,"Los Angeles, California",Episode 5,10,E
7,A.J. Stewart,20,,"Sacramento, California",Episode 6,9,E
7,Brooke Miller,18,,"Keller, Texas",Episode 7,8,E
7,Anchal Joseph,19,,"Homestead, Florida",Episode 9,7,E
7,Jaeda Young,18,,"Parkersburg, Iowa",Episode 10,6,E
7,Michelle Babin,18,,"Anaheim, California",Episode 11,5,E
7,Amanda Babin,18,,"Anaheim, California",Episode 12,4,E
7,Eugena Washington,21,,"Palmdale, California",Episode 13,3,E
7,Melrose Bickerstaff,23,,"San Francisco, California",Episode 12,2,E
7,CariDee English,21,,"Fargo, North Dakota",Episode 12,1,W
8,Kathleen DuJour,20,,"Brooklyn, New York",Episode 2,13,E
8,Samantha Francis,19,,"Pinson, Alabama",Episode 3,12,E
8,Cassandra Watson,24,,"Seattle, Washington",Episode 4,11,E
8,Felicia Provost,19,,"Houston, Texas",Episode 5,10,E
8,Diana Zalewski,21,,"Garfield, New Jersey",Episode 6,9,E
8,Sarah VonderHaar,20,,"Lake Zurich, Illinois",Episode 7,8,E
8,Whitney Cunningham,21,,"West Palm Beach, Florida",Episode 8,7,E
8,Jael Strauss,22,,"Detroit, Michigan",Episode 9,6,E
8,Brittany Hatch,21,,"Savannah, Georgia",Episode 11,5,E
8,Dionne Walters,20,,"Montgomery, Alabama",Episode 12,4,E
