state,count
Alabama,3
Alaska,1
Arizona,4
Arkansas,6
California,49
Colorado,3
Connecticut,4
Delaware,2
Florida,23
Georgia,9
Hawaii,4
Idaho,2
Illinois,16
Indiana,4
Iowa,2
Kansas,1
Kentucky,2
Louisiana,4
Maine,0
Maryland,5
Massachusetts,8
Michigan,5
Minnesota,7
Mississippi,0
Missouri,4
Montana,0
Nebraska,0
Nevada,3
New Hampshire,0
New Jersey,7
New Mexico,3
New York,26
North Carolina,4
North Dakota,3
Ohio,5
Oklahoma,5
Oregon,2
Pennsylvania,7
Rhode Island,0
South Carolina,4
South Dakota,1
Tennessee,2
Texas,31
Utah,0
Vermont,0
Virginia,4
Washington,9
Washington D.C.,1
West Virginia,0
Wisconsin,2
Wyoming,0
