eliminated,eliminatedavg,bottomtwo,bottomtwoavg
Katie,5.0,Kesse,3.0
Nicole,4.0,Ebony,3.5
Ebony,4.666666666666667,Giselle,4.666666666666667
Giselle,5.0,Elyse,3.5
Kesse,3.2,Adrianne,3.6
Robin,4.833333333333333,Shannon,3.5
Elyse,3.0,Adrianne,3.4285714285714284
Shannon,3.125,Adrianne,3.25
Bethany,9.0,Shandi,2.0
Heather,7.5,Xiomara,8.5
Jenascia,9.0,Catie,4.666666666666667
Xiomara,7.0,Camille,4.25
Catie,5.4,Camille,4.8
Sara,4.666666666666667,Yoanna,3.8333333333333335
Camille,4.714285714285714,Mercedes,3.0
April,3.25,Mercedes,3.125
Shandi,3.3333333333333335,Yoanna,3.4444444444444446
Mercedes,2.9,Yoanna,3.3
Julie,3.0,Kelle,5.0
Kristi,6.0,Jennipher,5.0
Jennipher,6.666666666666667,Kelle,8.333333333333334
Kelle,8.5,Ann,7.5
Cassie,5.8,Toccara,5.4
Toccara,5.666666666666667,Ann,6.666666666666667
Nicole,4.0,Yaya,3.7142857142857144
Norelle,5.75,Ann,5.875
Ann,5.666666666666667,Eva,3.3333333333333335
Amanda,3.5,Eva,3.3
Yaya,3.272727272727273,Eva,3.1818181818181817
Sarah,8.0,Brittany,10.0
Brandy,10.5,Lluvy,8.0
Noelle,8.666666666666666,Lluvy,9.0
Lluvy,9.0,Rebecca,3.25
Tatiana,5.666666666666667,Michelle,6.0
Michelle,6.0,Keenyah,4.142857142857143
Christina,4.125,Brittany,5.25
Brittany,5.111111111111111,Naima,3.888888888888889
Keenyah,3.7,Kahlen,3.7
Kahlen,3.5454545454545454,Naima,3.5454545454545454
Ebony,8.0,Diane,4.0
Sarah,10.5,Kim,7.5
Diane,7.0,Bre,6.0
Coryn,6.5,Nik,3.25
Kyle,4.8,Bre,6.4
Jayla,3.857142857142857,Nik,3.7142857142857144
Kim,4.625,Bre,5.125
Jayla,3.7777777777777777,Bre,5.0
Bre,4.8,Nicole,4.6
Nik,3.090909090909091,Nicole,4.363636363636363
Wendy,11.0,Jade,7.0
Kari,4.5,Gina,8.0
Gina,8.666666666666666,Brooke,4.333333333333333
Mollie Sue,6.5,Jade,6.0
Leslie,5.2,Sara,5.2
Brooke,5.833333333333333,Jade,5.666666666666667
Nnenna,4.571428571428571,Furonda,4.571428571428571
Furonda,4.625,Jade,5.25
Sara,4.666666666666667,Danielle,3.4444444444444446
Jade,4.8,Danielle,3.4
Joanie,3.1818181818181817,Danielle,3.272727272727273
Megan,4.0,Jaeda,9.0
Monique,8.5,Eugena,9.0
Megg,7.333333333333333,Jaeda,7.333333333333333
A.J.,3.0,Jaeda,7.75
Brooke,6.0,Eugena,7.2
Anchal,4.5,Michelle,4.333333333333333
Jaeda,6.714285714285714,CariDee,3.5714285714285716
Michelle,4.5,Amanda,4.625
Amanda,4.555555555555555,CariDee,3.6666666666666665
Eugena,5.3,Melrose,3.5
Melrose,3.3636363636363638,CariDee,3.3636363636363638
Samantha,5.0,Natasha,11.0
Cassandra,6.0,Diana,3.5
Felicia,3.3333333333333335,Dionne,6.666666666666667
Diana,6.0,Whitney,7.5
Sarah,6.8,Whitney,7.6
Whitney,7.5,Jael,6.0
Jael,6.0,Brittany,3.0
Brittany,3.25,Dionne,4.875
Dionne,4.777777777777778,Natasha,4.444444444444445
Renee,3.9,Natasha,4.3
Natasha,4.090909090909091,Jaslene,3.4545454545454546
Kimberly,10.0,Bianca,11.0
Victoria,7.5,Saleisha,7.0
Janet,7.666666666666667,Ambreal,6.333333333333333
Ambreal,7.0,Ebony,8.0
Sarah,4.8,Chantal,5.2
Ambreal,7.0,Lisa,3.0
Lisa,3.4285714285714284,Heather,3.2857142857142856
Heather,3.5,Jenah,3.25
Bianca,5.111111111111111,Jenah,3.3333333333333335
Jenah,3.3,Saleisha,4.2
Chantal,3.909090909090909,Saleisha,4.0
Allison,11.0,Dominique,10.0
Amis,11.0,Fatima,6.0
Marvita,3.3333333333333335,Whitney,4.333333333333333
Aimee,5.75,Claire,3.25
Claire,4.2,Stacy-Ann,5.4
Fatima,5.666666666666667,Whitney,4.5
Lauren,3.5714285714285716,Whitney,4.571428571428571
Katarzyna,4.375,Whitney,4.625
Dominique,5.444444444444445,Fatima,4.666666666666667
Fatima,4.5,Whitney,4.3
Anya,2.5454545454545454,Whitney,4.090909090909091
Nikeysha,13.0,Isis,2.0
